subID,oneAlpha_oneBeta,oneAlpha_twoBeta,twoAlpha_oneBeta,twoAlpha_twoBeta,twoAlphaValenced_oneBeta,twoAlphaValenced_twoBeta,fourAlpha_oneBeta,fourAlpha_twoBeta,oneAlpha_oneBeta_agencyBonus,oneAlpha_twoBeta_agencyBonus,twoAlpha_oneBeta_agencyBonus,twoAlpha_twoBeta_agencyBonus,twoAlphaValenced_oneBeta_agencyBonus,twoAlphaValenced_twoBeta_agencyBonus,fourAlpha_oneBeta_agencyBonus,fourAlpha_twoBeta_agencyBonus
voc040a,606.40366223639,609.789661316712,612.376253875459,606.687813908968,607.085970055283,576.060725617433,505.266536674833,485.152336734772,476.759533836366,480.397668676638,472.41319226252,475.716637807124,415.412200960909,419.700772852244,423.910822181873,422.629203572729
voc041a,378.503257633915,367.943364261933,377.811969124603,352.072615677317,380.337798500553,355.864434815195,385.537188297099,359.333599038718,265.677764433813,272.706550488231,271.442465385889,278.891912936719,271.725306847413,270.083886260689,283.473714936132,280.375487614211
voc042a,641.044182353578,549.965073195238,642.905692677268,521.748018144267,589.406897864408,490.091610376101,451.398521112192,449.02569441662,451.935605264747,420.653275605219,451.551763468513,394.937706726354,348.12859879645,334.428735195357,343.777531466731,337.077803960658
voc043a,375.646175121446,381.567272742317,370.197463731364,373.31908086122,381.711125311919,387.700088397478,365.427763017996,371.30342788695,340.254769398957,333.575900058868,344.64688640735,331.748051230633,317.138589465719,320.406583951139,329.496636872192,332.262991092803
voc044a,583.803641244611,586.520893930532,569.408469432393,574.456102144582,590.041407588495,592.753458814039,554.135410197787,549.099504782538,489.639092363052,495.89400648848,491.241911770072,496.375429783377,495.30308785945,501.608374301069,499.268583312659,499.685236722
voc045a,602.580182468087,581.150828608766,597.429345085428,576.174582514443,608.859241955,575.120260964806,499.39410501987,505.716620992069,370.420399209271,376.826218734578,375.148293948581,381.224230876447,365.794016362836,372.195925037037,365.61277112607,369.204047751013
voc046a,534.387398528328,539.913620521015,536.464656165532,540.634324510893,540.59112639587,546.124126272221,529.823871057937,525.994259241349,421.988092570862,415.619120500858,427.153325844257,421.161543992962,425.26817403728,420.169350755447,437.176332840995,432.646778503007
voc047a,623.56603942424,573.286308501561,628.308109710523,574.371882446535,623.793091447611,579.442015458084,633.35142353879,576.302645817821,459.609983792492,466.131648559927,465.835131591311,472.464006456062,465.788701806955,472.46973922674,478.095744402808,486.775540393525
voc048a,679.499551113922,651.721705666848,660.325148678181,640.193270974129,685.159149013436,657.989847126831,666.882785904008,634.488455656028,425.159803200251,433.517436168573,418.352943171372,426.608505142191,417.555726774045,425.967219718642,423.633879804722,432.072081419173
voc049a,361.147162979478,367.362011026724,365.259924992817,371.506282663094,364.834463924206,370.999792459555,324.795554082927,325.289618504384,334.628197580221,340.699152757288,338.05725861068,344.421315025044,321.656978454054,326.439941459336,319.698410952052,326.066238996583
voc050a,687.339064911601,686.097765120685,689.829593281275,687.606479508326,691.108397341986,689.862235333302,699.058680796809,695.029625802324,557.275334012546,563.819961120112,561.529230199436,568.14668922765,563.049260261674,570.987013113242,572.229806451917,577.56480568099
voc051a,638.826973502664,604.203435549045,632.419247674845,602.852030212468,639.116031017396,610.394946154728,636.55098459181,601.498552168153,455.650475633261,463.332956491538,460.566815607574,468.298164591585,449.738505953721,456.986707981575,460.601560943707,467.277748477703
