"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc068t",190,"bandits9010","bandit90","bandit10",4,2,1,0.00014497,"bandit90","bandit10",1,1.0774,1,10,0.90741,0.90926,0.90741,0.90926,-0.0018519,-1,64,0
"voc068t",191,"bandits7030","bandit30","bandit70",1,2,1,2.1061,"bandit70","bandit30",2,1.0366,1,10,0.71429,0.61786,0.71429,0.61786,0.096429,1,64,1
"voc068t",192,"bandits5050","bandit50b","bandit50a",3,1,0,2.7638,"bandit50a","bandit50b",2,3.4291,1,13,0.5,0.78684,0.78684,0.5,0.28684,1,64,0
"voc068t",193,"bandits9010","bandit90","bandit10",3,2,1,1.2476,"bandit90","bandit10",1,0.43513,1,10,0.90909,0.8101,0.90909,0.8101,0.09899,1,65,1
"voc068t",194,"bandits5050","bandit50b","bandit50a",6,1,0,1.6434,"bandit50a","bandit50b",2,3.4985,1,16,0.5,1.1,1.1,0.5,0.6,1,65,0
"voc068t",195,"bandits7030","bandit30","bandit70",0,2,1,1.9625,"bandit70","bandit30",2,0.42523,1,10,0.72222,0.52183,0.72222,0.52183,0.2004,1,65,1
"voc068t",196,"bandits5050","bandit50a","bandit50b",5,1,0,1.5383,"bandit50b","bandit50a",2,3.5816,1,15,0.52381,1.0119,1.0119,0.52381,0.4881,1,66,0
"voc068t",197,"bandits9010","bandit90","bandit10",0,2,1,1.1055,"bandit90","bandit10",1,0.43462,0,0,0.91071,0.51091,0.91071,0.51091,0.3998,1,66,1
"voc068t",198,"bandits7030","bandit70","bandit30",5,1,0,1.3638,"bandit70","bandit30",1,4.317,1,15,0.72973,1.0256,1.0256,0.72973,0.29585,1,66,0
"voc068t",199,"bandits5050","bandit50a","bandit50b",0,2,1,1.9625,"bandit50a","bandit50b",1,0.64985,0,0,0.52381,0.51746,0.52381,0.51746,0.0063492,1,67,1
"voc068t",200,"bandits9010","bandit90","bandit10",5,2,1,3.6166,"bandit90","bandit10",1,0.82071,1,10,0.89474,1.0029,0.89474,1.0029,-0.10819,-1,67,0
"voc068t",201,"bandits7030","bandit30","bandit70",6,1,0,1.902,"bandit30","bandit70",1,4.4255,0,6,0.73684,1.1291,1.1291,0.73684,0.39229,1,67,0
"voc068t",202,"bandits9010","bandit10","bandit90",6,2,1,0.00017873,"bandit90","bandit10",2,0.61004,1,10,0.89655,1.1038,0.89655,1.1038,-0.20728,-1,68,0
