"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc057a",35,"bandits5050","bandit50b","bandit50a",0,2,1,0.00019115,"bandit50a","bandit50b",2,1.4431,0,0,0.66667,0.58333,0.66667,0.58333,0.083333,1,12,1
"voc057a",36,"bandits9010","bandit10","bandit90",2,2,1,0.41871,"bandit10","bandit90",1,0.33652,0,0,1,0.7625,1,0.7625,0.2375,1,12,1
"voc057a",37,"bandits9010","bandit90","bandit10",0,2,1,0.77227,"bandit90","bandit10",1,0.62852,1,10,1,0.55556,1,0.55556,0.44444,1,13,1
"voc057a",38,"bandits7030","bandit70","bandit30",0,2,1,0.50805,"bandit70","bandit30",1,1.247,1,10,0.6,0.37143,0.6,0.37143,0.22857,1,13,1
"voc057a",39,"bandits5050","bandit50a","bandit50b",4,2,1,0.54171,"bandit50b","bandit50a",2,1.1749,0,0,0.5,0.9,0.5,0.9,-0.4,-1,13,0
"voc057a",40,"bandits7030","bandit70","bandit30",2,2,1,0.44154,"bandit30","bandit70",2,1.1035,1,10,0.66667,0.60476,0.66667,0.60476,0.061905,1,14,1
"voc057a",41,"bandits5050","bandit50b","bandit50a",6,2,1,1.1324,"bandit50b","bandit50a",1,0.70097,1,10,0.5,1.0722,0.5,1.0722,-0.57222,-1,14,0
"voc057a",42,"bandits9010","bandit10","bandit90",4,2,1,0.76255,"bandit90","bandit10",2,0.20964,1,10,1,0.95556,1,0.95556,0.044444,1,14,1
"voc057a",43,"bandits5050","bandit50b","bandit50a",5,2,1,0.60403,"bandit50a","bandit50b",2,0.18633,1,10,0.5,1,0.5,1,-0.5,-1,15,0
"voc057a",44,"bandits9010","bandit90","bandit10",0,2,1,0.54822,"bandit90","bandit10",1,0.39708,0,0,1,0.55556,1,0.55556,0.44444,1,15,1
"voc057a",45,"bandits7030","bandit70","bandit30",1,2,1,0.27941,"bandit30","bandit70",2,0.69913,1,10,0.66667,0.55833,0.66667,0.55833,0.10833,1,15,1
"voc057a",46,"bandits7030","bandit30","bandit70",6,2,1,0.49641,"bandit70","bandit30",2,0.34616,1,10,0.66667,1.1,0.66667,1.1,-0.43333,-1,16,0
"voc057a",47,"bandits9010","bandit10","bandit90",1,2,1,0.58211,"bandit10","bandit90",1,2.1017,0,0,0.83333,0.57222,0.83333,0.57222,0.26111,1,16,1
"voc057a",48,"bandits5050","bandit50b","bandit50a",2,2,1,0.6978,"bandit50b","bandit50a",1,1.1406,1,10,0.6,0.75,0.6,0.75,-0.15,-1,16,0
"voc057a",49,"bandits9010","bandit10","bandit90",5,2,1,0.56029,"bandit10","bandit90",1,0.49647,0,0,0.83333,0.96667,0.83333,0.96667,-0.13333,-1,17,0
"voc057a",50,"bandits7030","bandit30","bandit70",0,2,1,0.52556,"bandit70","bandit30",2,0.76064,0,0,0.71429,0.52381,0.71429,0.52381,0.19048,1,17,1
"voc057a",51,"bandits5050","bandit50a","bandit50b",3,2,1,0.60292,"bandit50a","bandit50b",1,0.61753,0,0,0.6,0.87273,0.6,0.87273,-0.27273,-1,17,0
"voc057a",52,"bandits5050","bandit50a","bandit50b",0,2,1,0.42656,"bandit50a","bandit50b",1,3.0408,1,10,0.54545,0.52273,0.54545,0.52273,0.022727,1,18,1
"voc057a",53,"bandits9010","bandit90","bandit10",4,2,1,0.43129,"bandit10","bandit90",2,0.22045,0,0,0.83333,0.86212,0.83333,0.86212,-0.028788,-1,18,0
"voc057a",54,"bandits7030","bandit30","bandit70",2,2,1,0.020611,"bandit30","bandit70",1,0.54768,0,0,0.625,0.67917,0.625,0.67917,-0.054167,-1,18,0
"voc057a",55,"bandits5050","bandit50b","bandit50a",6,2,1,0.57531,"bandit50a","bandit50b",2,1.455,0,0,0.57143,1.1584,0.57143,1.1584,-0.58701,-1,19,0
"voc057a",56,"bandits7030","bandit30","bandit70",4,2,1,0.3825,"bandit30","bandit70",1,0.28507,1,10,0.625,0.8625,0.625,0.8625,-0.2375,-1,19,0
"voc057a",57,"bandits9010","bandit10","bandit90",6,2,1,0.38795,"bandit90","bandit10",2,0.57915,1,10,0.83333,1.0583,0.83333,1.0583,-0.225,-1,19,0
"voc057a",58,"bandits5050","bandit50a","bandit50b",1,2,1,0.68504,"bandit50b","bandit50a",2,1.6798,0,0,0.54545,0.62273,0.54545,0.62273,-0.077273,-1,20,0
"voc057a",59,"bandits7030","bandit30","bandit70",5,2,1,0.40551,"bandit30","bandit70",1,0.3004,0,0,0.625,0.99432,0.625,0.99432,-0.36932,-1,20,0
"voc057a",60,"bandits9010","bandit90","bandit10",3,2,1,0.85794,"bandit10","bandit90",2,0.62282,1,10,0.85714,0.77024,0.85714,0.77024,0.086905,1,20,1
"voc057a",61,"bandits5050","bandit50a","bandit50b",4,2,1,0.00017862,"bandit50b","bandit50a",2,1.7347,1,10,0.5,0.9,0.5,0.9,-0.4,-1,21,0
"voc057a",62,"bandits9010","bandit90","bandit10",2,2,1,0.58429,"bandit90","bandit10",1,0.43278,1,10,0.85714,0.70549,0.85714,0.70549,0.15165,1,21,1
"voc057a",63,"bandits7030","bandit70","bandit30",3,2,1,0.584,"bandit30","bandit70",2,0.52019,0,0,0.625,0.77917,0.625,0.77917,-0.15417,-1,21,0
"voc057a",64,"bandits7030","bandit30","bandit70",2,2,1,0.5721,"bandit30","bandit70",1,0.96457,0,0,0.625,0.66635,0.625,0.66635,-0.041346,-1,22,0
"voc057a",65,"bandits9010","bandit10","bandit90",4,2,1,0.5115,"bandit90","bandit10",2,0.233,1,10,0.875,0.91442,0.875,0.91442,-0.039423,-1,22,0
"voc057a",66,"bandits5050","bandit50b","bandit50a",2,2,1,0.37683,"bandit50a","bandit50b",2,0.30524,1,10,0.53846,0.71923,0.53846,0.71923,-0.18077,-1,22,0
"voc057a",67,"bandits9010","bandit10","bandit90",2,2,1,0.27856,"bandit90","bandit10",2,0.29871,1,10,0.88889,0.72137,0.88889,0.72137,0.16752,1,23,1
"voc057a",68,"bandits5050","bandit50a","bandit50b",5,2,1,0.36866,"bandit50b","bandit50a",2,0.4407,0,0,0.55556,1.047,0.55556,1.047,-0.49145,-1,23,0
"voc057a",69,"bandits7030","bandit70","bandit30",1,2,1,1.1597,"bandit70","bandit30",1,0.29724,1,10,0.625,0.55536,0.625,0.55536,0.069643,1,23,1
"voc057a",70,"bandits9010","bandit10","bandit90",6,2,1,0.86155,"bandit10","bandit90",1,0.2824,0,0,0.9,1.1269,0.9,1.1269,-0.22692,-1,24,0
