"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimal","trialOfCond","optimalToChoose"
"voc075c",78,"bandits5050","bandit50b","bandit50a",2,1,0,0.72473,"bandit50a","bandit50b",2,0.55294,0,2,0.5,0.68077,0.68077,0.5,0.18077,1,26,0
"voc075c",79,"bandits5050","bandit50b","bandit50a",6,1,0,0.88947,"bandit50a","bandit50b",2,0.43157,1,16,0.46154,1.0615,1.0615,0.46154,0.6,1,27,0
"voc075c",80,"bandits7030","bandit30","bandit70",5,1,0,0.89955,"bandit30","bandit70",1,0.61567,1,15,0.66667,0.9697,0.9697,0.66667,0.30303,1,27,0
"voc075c",81,"bandits9010","bandit90","bandit10",2,1,0,0.00017928,"bandit90","bandit10",1,1.5832,1,12,0.92857,0.70595,0.70595,0.92857,-0.22262,-1,27,1
"voc075c",82,"bandits9010","bandit10","bandit90",1,1,0,0.77219,"bandit10","bandit90",1,0.71854,0,1,0.93333,0.60833,0.60833,0.93333,-0.325,-1,28,1
"voc075c",83,"bandits7030","bandit70","bandit30",0,1,0,0.00017432,"bandit30","bandit70",2,0.60894,0,0,0.66667,0.5,0.5,0.66667,-0.16667,-1,28,1
"voc075c",84,"bandits5050","bandit50b","bandit50a",5,1,0,0.57418,"bandit50a","bandit50b",2,1.3286,0,5,0.5,0.98077,0.98077,0.5,0.48077,1,28,0
"voc075c",85,"bandits5050","bandit50b","bandit50a",3,2,1,0.93706,"bandit50a","bandit50b",2,0.54578,1,10,0.46667,0.7641,0.46667,0.7641,-0.29744,-1,29,0
"voc075c",86,"bandits7030","bandit30","bandit70",3,1,0,0.50966,"bandit70","bandit30",2,0.69043,1,13,0.66667,0.78718,0.78718,0.66667,0.12051,1,29,0
"voc075c",87,"bandits9010","bandit90","bandit10",1,2,1,0.00017776,"bandit10","bandit90",2,1.1159,0,0,0.93333,0.60513,0.93333,0.60513,0.32821,1,29,1
"voc075c",88,"bandits7030","bandit30","bandit70",6,1,0,0.31961,"bandit30","bandit70",1,0.74117,0,6,0.6875,1.0976,1.0976,0.6875,0.4101,1,30,0
"voc075c",89,"bandits5050","bandit50a","bandit50b",6,1,0,0.74853,"bandit50b","bandit50a",2,1.2478,1,16,0.5,1.0808,1.0808,0.5,0.58077,1,30,0
