"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc085c",220,"bandits5050","bandit50a","bandit50b",1,2,1,0.69391,"bandit50b","bandit50a",2,0.45794,0,0,0.52174,0.60161,0.52174,0.60161,-0.079871,0,-1,74
"voc085c",221,"bandits9010","bandit10","bandit90",3,2,1,0.88895,"bandit90","bandit10",2,0.54325,1,10,0.90196,0.79643,0.90196,0.79643,0.10553,1,1,74
"voc085c",222,"bandits7030","bandit30","bandit70",5,2,1,0.72289,"bandit70","bandit30",2,1.5098,1,10,0.68421,0.98496,0.68421,0.98496,-0.30075,0,-1,74
"voc085c",223,"bandits7030","bandit70","bandit30",1,2,1,0.78925,"bandit70","bandit30",1,0.61059,1,10,0.69231,0.58901,0.69231,0.58901,0.1033,1,1,75
"voc085c",224,"bandits9010","bandit10","bandit90",1,2,1,0.93811,"bandit90","bandit10",2,0.56247,1,10,0.90385,0.59738,0.90385,0.59738,0.30647,1,1,75
"voc085c",225,"bandits5050","bandit50a","bandit50b",0,2,1,0.9782,"bandit50b","bandit50a",2,1.3983,0,0,0.51064,0.49606,0.51064,0.49606,0.014578,1,1,75
"voc085c",226,"bandits9010","bandit10","bandit90",5,2,1,0.72791,"bandit10","bandit90",1,0.39609,0,0,0.90566,0.99828,0.90566,0.99828,-0.092624,0,-1,76
"voc085c",227,"bandits5050","bandit50a","bandit50b",6,2,1,0.88933,"bandit50a","bandit50b",1,0.73281,1,10,0.5,1.0907,0.5,1.0907,-0.59074,0,-1,76
"voc085c",228,"bandits7030","bandit70","bandit30",4,2,1,0.78038,"bandit30","bandit70",2,0.81482,1,10,0.7,0.89286,0.7,0.89286,-0.19286,0,-1,76
"voc085c",229,"bandits9010","bandit10","bandit90",4,2,1,0.80076,"bandit90","bandit10",2,0.34563,1,10,0.90566,0.89631,0.90566,0.89631,0.0093519,1,1,77
"voc085c",230,"bandits5050","bandit50a","bandit50b",2,2,1,0.70996,"bandit50a","bandit50b",1,0.31045,1,10,0.5,0.7,0.5,0.7,-0.2,0,-1,77
"voc085c",231,"bandits7030","bandit70","bandit30",6,2,1,0.49259,"bandit30","bandit70",2,0.30916,1,10,0.7,1.1028,0.7,1.1028,-0.40278,0,-1,77
"voc085c",232,"bandits9010","bandit90","bandit10",1,2,1,0.73439,"bandit90","bandit10",1,0.35714,1,10,0.90741,0.59718,0.90741,0.59718,0.31023,1,1,78
"voc085c",233,"bandits5050","bandit50a","bandit50b",2,2,1,1.7116,"bandit50b","bandit50a",2,0.38951,0,0,0.51724,0.70862,0.51724,0.70862,-0.19138,0,-1,78
"voc085c",234,"bandits7030","bandit70","bandit30",4,2,1,1.6857,"bandit70","bandit30",1,0.46031,1,10,0.7,0.91216,0.7,0.91216,-0.21216,0,-1,78
"voc085c",235,"bandits7030","bandit70","bandit30",5,2,1,0.74514,"bandit30","bandit70",2,0.39776,0,0,0.70732,1.0158,0.70732,1.0158,-0.3085,0,-1,79
"voc085c",236,"bandits5050","bandit50b","bandit50a",5,1,0,0.79527,"bandit50a","bandit50b",2,0.62615,0,5,0.51724,1.0035,1.0035,0.51724,0.48628,0,1,79
"voc085c",237,"bandits9010","bandit10","bandit90",4,1,0,1.1968,"bandit90","bandit10",2,1.1063,1,14,0.90909,0.89802,0.89802,0.90909,-0.011067,1,-1,79
"voc085c",238,"bandits5050","bandit50b","bandit50a",1,2,1,1.3287,"bandit50a","bandit50b",2,2.6133,1,10,0.5,0.5949,0.5,0.5949,-0.094898,0,-1,80
"voc085c",239,"bandits7030","bandit30","bandit70",3,2,1,0.0044063,"bandit30","bandit70",1,3.5226,0,0,0.70732,0.81155,0.70732,0.81155,-0.10424,0,-1,80
"voc085c",240,"bandits9010","bandit90","bandit10",5,2,1,0.0082033,"bandit90","bandit10",1,1.1532,1,10,0.91071,0.99884,0.91071,0.99884,-0.088121,0,-1,80
"voc085c",241,"bandits7030","bandit70","bandit30",2,2,1,1.4016,"bandit70","bandit30",1,1.0447,1,10,0.70732,0.7075,0.70732,0.7075,-0.00018762,0,-1,81
