"subID","trial","condition","leftBandit","rightBandit","tokenOffer","agencyResp","agency","agencyRT","selectedBandit","nonSelectedBandit","banditResp","banditRT","reward","tokensEarned","EV_choose","EV_comp","EV_selectedAction","EV_nonselectedAction","EV_selectedMinusNonselected","optimalToChoose","optimal","trialOfCond"
"voc091t",278,"bandits5050","bandit50a","bandit50b",3,2,1,0.31942,"bandit50b","bandit50a",2,0.16202,0,0,0.51111,0.81087,0.51111,0.81087,-0.29976,0,-1,93
"voc091t",279,"bandits7030","bandit30","bandit70",5,1,0,0.67102,"bandit30","bandit70",1,0.44743,0,5,0.7,1.0048,1.0048,0.7,0.30476,0,1,93
"voc091t",280,"bandits5050","bandit50a","bandit50b",6,2,1,0.47822,"bandit50a","bandit50b",1,0.62499,0,0,0.51111,1.1056,0.51111,1.1056,-0.59444,0,-1,94
"voc091t",281,"bandits7030","bandit30","bandit70",4,2,1,0.31742,"bandit70","bandit30",2,0.3597,1,10,0.7,0.90116,0.7,0.90116,-0.20116,0,-1,94
"voc091t",282,"bandits9010","bandit10","bandit90",6,1,0,0.30108,"bandit90","bandit10",2,1.1159,1,16,0.88372,1.0919,1.0919,0.88372,0.20814,0,1,94
"voc091t",283,"bandits5050","bandit50a","bandit50b",0,2,1,0.24744,"bandit50b","bandit50a",2,0.17197,1,10,0.5,0.5,0.5,0.5,0,,0,95
"voc091t",284,"bandits9010","bandit90","bandit10",3,1,0,0.45707,"bandit10","bandit90",2,0.52267,0,3,0.88636,0.79318,0.79318,0.88636,-0.093182,1,-1,95
"voc091t",285,"bandits7030","bandit70","bandit30",3,2,1,0.33266,"bandit70","bandit30",1,0.66244,1,10,0.70588,0.8041,0.70588,0.8041,-0.098222,0,-1,95
"voc091t",286,"bandits9010","bandit90","bandit10",1,1,0,0.29603,"bandit10","bandit90",2,0.4546,0,1,0.88636,0.5922,0.5922,0.88636,-0.29416,1,-1,96
"voc091t",287,"bandits7030","bandit70","bandit30",0,2,1,0.70914,"bandit70","bandit30",1,1.2246,1,10,0.71154,0.50693,0.71154,0.50693,0.20461,1,1,96
"voc091t",288,"bandits5050","bandit50b","bandit50a",4,2,1,0.63558,"bandit50a","bandit50b",2,0.35314,0,0,0.5102,0.9051,0.5102,0.9051,-0.3949,0,-1,96
"voc091t",289,"bandits9010","bandit10","bandit90",0,1,0,0.35137,"bandit90","bandit10",2,0.81252,1,10,0.88636,0.49126,0.49126,0.88636,-0.3951,1,-1,97
"voc091t",290,"bandits5050","bandit50b","bandit50a",5,2,1,0.39502,"bandit50b","bandit50a",1,0.57055,0,0,0.5102,0.99978,0.5102,0.99978,-0.48958,0,-1,97
"voc091t",291,"bandits7030","bandit30","bandit70",2,1,0,0.29597,"bandit30","bandit70",1,1.2223,0,2,0.71698,0.70965,0.70965,0.71698,-0.0073278,1,-1,97
"voc091t",292,"bandits5050","bandit50a","bandit50b",2,2,1,0.29433,"bandit50a","bandit50b",1,0.28292,1,10,0.5,0.69468,0.5,0.69468,-0.19468,0,-1,98
"voc091t",293,"bandits7030","bandit70","bandit30",6,1,0,0.33077,"bandit70","bandit30",1,0.74345,1,16,0.71698,1.1062,1.1062,0.71698,0.38924,0,1,98
"voc091t",294,"bandits9010","bandit10","bandit90",2,2,1,0.8746,"bandit90","bandit10",2,0.91111,1,10,0.88889,0.69252,0.88889,0.69252,0.19637,1,1,98
"voc091t",295,"bandits9010","bandit90","bandit10",0,1,0,0.311,"bandit90","bandit10",1,0.59703,1,10,0.8913,0.49373,0.49373,0.8913,-0.39758,1,-1,99
"voc091t",296,"bandits7030","bandit30","bandit70",1,2,1,0.42096,"bandit70","bandit30",2,0.3799,1,10,0.72222,0.60884,0.72222,0.60884,0.11338,1,1,99
"voc091t",297,"bandits5050","bandit50a","bandit50b",3,1,0,0.57604,"bandit50b","bandit50a",2,0.33917,0,3,0.5,0.8,0.8,0.5,0.3,0,1,99
"voc091t",298,"bandits9010","bandit10","bandit90",4,2,1,0.26236,"bandit10","bandit90",1,0.30719,0,0,0.89362,0.89489,0.89362,0.89489,-0.0012684,0,-1,100
"voc091t",299,"bandits5050","bandit50b","bandit50a",4,1,0,0.39444,"bandit50b","bandit50a",1,0.14831,1,14,0.5,0.8951,0.8951,0.5,0.3951,0,1,100
"voc091t",300,"bandits7030","bandit70","bandit30",0,2,1,0.23144,"bandit70","bandit30",1,0.23725,0,0,0.72727,0.51136,0.72727,0.51136,0.21591,1,1,100
